[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_er/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --no-arcface --triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_er/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_er/seed_42/runs/20260617-195405

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   0% 0/1335 [00:12<?, ?it/s, loss=2.7758, top1=0.00%, top5=1.56%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 1/1335 [00:12<4:29:49, 12.14s/it, loss=2.7758, top1=0.00%, top5=1.56%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 1/1335 [00:12<4:29:49, 12.14s/it, loss=2.7645, top1=0.39%, top5=1.56%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 2/1335 [00:12<2:00:02,  5.40s/it, loss=2.7645, top1=0.39%, top5=1.56%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 2/1335 [00:13<2:00:02,  5.40s/it, loss=2.7393, top1=0.52%, top5=2.34%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 3/1335 [00:13<1:12:10,  3.25s/it, loss=2.7393, top1=0.52%, top5=2.34%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 3/1335 [00:14<1:12:10,  3.25s/it, loss=2.7414, top1=0.98%, top5=2.93%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 4/1335 [00:14<56:03,  2.53s/it, loss=2.7414, top1=0.98%, top5=2.93%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]  
Train E001:   0% 4/1335 [00:15<56:03,  2.53s/it, loss=2.7345, top1=1.25%, top5=3.28%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 5/1335 [00:15<41:26,  1.87s/it, loss=2.7345, top1=1.25%, top5=3.28%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 5/1335 [00:16<41:26,  1.87s/it, loss=2.7245, top1=1.17%, top5=3.26%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   0% 6/1335 [00:16<32:37,  1.47s/it, loss=2.7245, top1=1.17%, top5=3.26%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
