[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_mbc/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --arcface --no-triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_mbc/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_mbc/seed_42/runs/20260617-091718

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   0% 0/1335 [00:11<?, ?it/s, loss=6.9194, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 1/1335 [00:11<4:21:10, 11.75s/it, loss=6.9194, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 1/1335 [00:12<4:21:10, 11.75s/it, loss=6.9376, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 2/1335 [00:12<1:56:33,  5.25s/it, loss=6.9376, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 2/1335 [00:13<1:56:33,  5.25s/it, loss=6.9306, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 3/1335 [00:13<1:10:18,  3.17s/it, loss=6.9306, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 3/1335 [00:14<1:10:18,  3.17s/it, loss=6.9380, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 4/1335 [00:14<55:16,  2.49s/it, loss=6.9380, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]  
Train E001:   0% 4/1335 [00:15<55:16,  2.49s/it, loss=6.9351, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 5/1335 [00:15<40:58,  1.85s/it, loss=6.9351, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 5/1335 [00:16<40:58,  1.85s/it, loss=6.9282, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 6/1335 [00:16<32:22,  1.46s/it, loss=6.9282, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   0% 6/1335 [00:16<32:22,  1.46s/it, loss=6.9207, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 7/1335 [00:16<26:51,  1.21s/it, loss=6.9207, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 7/1335 [00:17<26:51,  1.21s/it, loss=6.9134, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 8/1335 [00:17<23:15,  1.05s/it, loss=6.9134, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 8/1335 [00:18<23:15,  1.05s/it, loss=6.9000, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 9/1335 [00:18<20:50,  1.06it/s, loss=6.9000, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 9/1335 [00:18<20:50,  1.06it/s, loss=6.8964, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 10/1335 [00:18<19:13,  1.15it/s, loss=6.8964, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 10/1335 [00:19<19:13,  1.15it/s, loss=6.8882, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 11/1335 [00:19<19:11,  1.15it/s, loss=6.8882, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 11/1335 [00:20<19:11,  1.15it/s, loss=6.8770, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 12/1335 [00:20<18:05,  1.22it/s, loss=6.8770, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 12/1335 [00:21<18:05,  1.22it/s, loss=6.8666, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 13/1335 [00:21<17:19,  1.27it/s, loss=6.8666, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 13/1335 [00:21<17:19,  1.27it/s, loss=6.8638, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 14/1335 [00:21<16:47,  1.31it/s, loss=6.8638, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 14/1335 [00:22<16:47,  1.31it/s, loss=6.8561, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 15/1335 [00:22<16:24,  1.34it/s, loss=6.8561, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 15/1335 [00:23<16:24,  1.34it/s, loss=6.8450, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 16/1335 [00:23<16:08,  1.36it/s, loss=6.8450, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 16/1335 [00:23<16:08,  1.36it/s, loss=6.8330, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 17/1335 [00:23<15:57,  1.38it/s, loss=6.8330, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 17/1335 [00:24<15:57,  1.38it/s, loss=6.8262, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 18/1335 [00:24<15:48,  1.39it/s, loss=6.8262, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
