[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverB/mbc_er/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --no-kd --arcface --triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverB/mbc_er/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] disabled.
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverB/mbc_er/seed_42/runs/20260617-091842

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   0% 0/1335 [00:09<?, ?it/s, loss=14.9358, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 1/1335 [00:09<3:41:35,  9.97s/it, loss=14.9358, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 1/1335 [00:10<3:41:35,  9.97s/it, loss=14.9264, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 2/1335 [00:10<1:37:13,  4.38s/it, loss=14.9264, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 2/1335 [00:10<1:37:13,  4.38s/it, loss=14.9101, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 3/1335 [00:10<57:27,  2.59s/it, loss=14.9101, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]  
Train E001:   0% 3/1335 [00:11<57:27,  2.59s/it, loss=14.9340, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 4/1335 [00:11<38:45,  1.75s/it, loss=14.9340, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 4/1335 [00:11<38:45,  1.75s/it, loss=14.9343, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 5/1335 [00:11<28:24,  1.28s/it, loss=14.9343, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 5/1335 [00:12<28:24,  1.28s/it, loss=14.9340, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 6/1335 [00:12<22:11,  1.00s/it, loss=14.9340, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   0% 6/1335 [00:12<22:11,  1.00s/it, loss=14.9142, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 7/1335 [00:12<18:14,  1.21it/s, loss=14.9142, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 7/1335 [00:13<18:14,  1.21it/s, loss=14.8965, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 8/1335 [00:13<15:39,  1.41it/s, loss=14.8965, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 8/1335 [00:13<15:39,  1.41it/s, loss=14.8726, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 9/1335 [00:13<13:55,  1.59it/s, loss=14.8726, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 9/1335 [00:14<13:55,  1.59it/s, loss=14.8708, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 10/1335 [00:14<12:45,  1.73it/s, loss=14.8708, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 10/1335 [00:14<12:45,  1.73it/s, loss=14.8503, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 11/1335 [00:14<11:55,  1.85it/s, loss=14.8503, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 11/1335 [00:15<11:55,  1.85it/s, loss=14.8322, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 12/1335 [00:15<11:21,  1.94it/s, loss=14.8322, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 12/1335 [00:15<11:21,  1.94it/s, loss=14.8079, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 13/1335 [00:15<10:57,  2.01it/s, loss=14.8079, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 13/1335 [00:15<10:57,  2.01it/s, loss=14.8045, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
