method,seed,top1,top5,macro_f1,weighted_f1
Baseline,1,83.70816024447309,97.63644177052,83.14309235676312,83.66187202928113
Baseline,25,83.99942701618679,97.7080647471709,83.60082772780522,83.9372054805863
Baseline,42,84.03762593706728,97.45499689633768,83.02466071345867,83.91484867024168
Baseline,50,83.48374158430025,97.66031609607029,82.74460329958666,83.3677538934156
Baseline,100,83.37869455187891,97.72238934250107,83.01244170300899,83.27245327097671
Full model,1,84.4243900109822,97.52661987298859,83.40452810301409,84.28422666643107
Full model,25,84.13312323926849,97.73193907272119,82.83770040818135,84.02594569499935
Full model,42,84.83980327555747,97.80833691448217,84.35844776200287,84.76018030405665
Full model,50,84.14744783459868,97.64121663563004,83.1073363969661,84.03561386709994
Full model,100,84.31934297856085,97.58869311941937,83.36464583483635,84.21904899236488
