class_id,class_label,support,baseline_precision,baseline_recall,baseline_f1,full_precision,full_recall,full_f1,delta_f1,baseline_main_confused_with,baseline_main_confusion_count,full_main_confused_with,full_main_confusion_count
25,025,46,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.7419354838709677,0.5,0.5974025974025974,-0.11688311688311692,237,6,24,7
218,218,24,0.8,1.0,0.888888888888889,0.6857142857142857,1.0,0.8135593220338984,-0.07532956685499059,0,0,0,0
24,024,70,0.9552238805970149,0.9142857142857143,0.9343065693430657,0.8695652173913043,0.8571428571428571,0.8633093525179856,-0.07099721682508009,25,1,25,2
222,222,16,0.7,0.875,0.7777777777777777,0.6086956521739131,0.875,0.717948717948718,-0.05982905982905973,80,2,80,2
232,232,16,0.9375,0.9375,0.9375,0.8333333333333334,0.9375,0.8823529411764706,-0.05514705882352944,192,1,192,1
210,210,32,0.9666666666666667,0.90625,0.9354838709677419,0.9032258064516129,0.875,0.8888888888888888,-0.04659498207885304,53,1,53,1
27,027,63,0.9166666666666666,0.873015873015873,0.894308943089431,0.8548387096774194,0.8412698412698413,0.848,-0.04630894308943101,28,5,28,5
121,121,28,0.6666666666666666,0.7857142857142857,0.721311475409836,0.6451612903225806,0.7142857142857143,0.6779661016949152,-0.043345373714920754,114,3,114,3
13,013,131,0.7426470588235294,0.7709923664122137,0.7565543071161049,0.7322834645669292,0.7099236641221374,0.7209302325581396,-0.035624074557965346,11,20,11,28
129,129,45,0.9210526315789473,0.7777777777777778,0.8433734939759038,0.8717948717948718,0.7555555555555555,0.8095238095238095,-0.03384968445209424,28,1,95,2
234,234,16,0.7894736842105263,0.9375,0.8571428571428572,0.7777777777777778,0.875,0.823529411764706,-0.03361344537815125,116,1,116,2
11,011,131,0.8032786885245902,0.7480916030534351,0.774703557312253,0.7333333333333333,0.7557251908396947,0.7443609022556391,-0.030342655056613932,13,22,13,19
163,163,78,0.9452054794520548,0.8846153846153846,0.9139072847682119,0.9295774647887324,0.8461538461538461,0.8859060402684563,-0.028001244499755606,6,1,164,2
