true_id,true_label,pred_id,pred_label,count,true_class_total,rate_in_true
154,154,153,153,39,131,0.29770992366412213
167,167,171,171,31,105,0.29523809523809524
134,134,135,135,29,131,0.22137404580152673
154,154,152,152,26,131,0.1984732824427481
200,200,201,201,26,131,0.1984732824427481
199,199,197,197,25,131,0.19083969465648856
201,201,200,200,25,131,0.19083969465648856
144,144,143,143,24,131,0.183206106870229
15,015,17,017,23,131,0.17557251908396945
11,011,13,013,22,131,0.16793893129770993
135,135,134,134,22,131,0.16793893129770993
153,153,154,154,21,128,0.1640625
13,013,11,011,20,131,0.15267175572519084
61,061,62,062,20,131,0.15267175572519084
143,143,144,144,19,131,0.1450381679389313
67,067,68,068,18,80,0.225
139,139,134,134,18,131,0.13740458015267176
17,017,15,015,17,131,0.1297709923664122
180,180,177,177,16,113,0.1415929203539823
15,015,16,016,16,131,0.12213740458015267
16,016,15,015,16,131,0.12213740458015267
182,182,28,028,15,67,0.22388059701492538
117,117,116,116,15,101,0.1485148514851485
28,028,182,182,15,131,0.11450381679389313
62,062,61,061,15,131,0.11450381679389313
84,084,90,090,15,131,0.11450381679389313
145,145,132,132,15,131,0.11450381679389313
171,171,167,167,15,131,0.11450381679389313
90,090,84,084,15,139,0.1079136690647482
45,045,19,019,14,58,0.2413793103448276
19,019,45,045,14,102,0.13725490196078433
206,206,188,188,14,119,0.11764705882352941
70,070,71,071,14,131,0.10687022900763359
132,132,145,145,13,131,0.09923664122137404
151,151,149,149,13,131,0.09923664122137404
116,116,117,117,13,139,0.09352517985611511
188,188,206,206,12,100,0.12
134,134,139,139,12,131,0.0916030534351145
98,098,97,097,11,83,0.13253012048192772
37,037,93,093,11,113,0.09734513274336283
179,179,189,189,11,113,0.09734513274336283
68,068,67,067,11,131,0.08396946564885496
73,073,151,151,11,131,0.08396946564885496
139,139,136,136,11,131,0.08396946564885496
80,080,187,187,10,86,0.11627906976744186
82,082,96,096,10,89,0.11235955056179775
149,149,151,151,10,131,0.07633587786259542
151,151,73,073,10,131,0.07633587786259542
185,185,179,179,10,131,0.07633587786259542
205,205,53,053,10,131,0.07633587786259542
